,gene,pvalue,effet
2135,ECH3937_v6b_ABF-0017839,8.96616114687276e-13,Activation
365,ECH3937_v6b_ABF-0015108,9.18154441365004e-13,Activation
3744,ECH3937_v6b_ABF-0020238,9.19930798204405e-13,Activation
2966,ECH3937_v6b_ABF-0019071,9.2237328885858e-13,Activation
3539,ECH3937_v6b_ABF-0019947,9.36584143573782e-13,Activation
785,ECH3937_v6b_ABF-0015833,9.39692768042732e-13,Activation
2446,ECH3937_v6b_ABF-0018300,9.57900425646585e-13,Activation
3694,ECH3937_v6b_ABF-0020166,9.60120871695835e-13,Activation
852,ECH3937_v6b_ABF-0015914,9.65449942214036e-13,Activation
825,ECH3937_v6b_ABF-0015883,9.70112878917462e-13,Activation
2572,ECH3937_v6b_ABF-0018482,9.75663994040588e-13,Activation
4351,ECH3937_v6b_ABF-0046888,9.9520391927399e-13,Activation
4082,ECH3937_v6b_ABF-0020726,1.01363362148277e-12,Activation
4245,ECH3937_v6b_ABF-0046641,1.02184927186499e-12,Activation
1352,ECH3937_v6b_ABF-0016684,1.0298428776423e-12,Activation
2019,ECH3937_v6b_ABF-0017679,1.07003295113373e-12,Activation
1262,ECH3937_v6b_ABF-0016546,1.07736042309625e-12,Repression
3556,ECH3937_v6b_ABF-0019972,1.10866871239068e-12,Activation
2815,ECH3937_v6b_ABF-0018837,1.12310161171081e-12,Activation
521,ECH3937_v6b_ABF-0015455,1.12776454841423e-12,Activation
2043,ECH3937_v6b_ABF-0017716,1.13198339590781e-12,Repression
2877,ECH3937_v6b_ABF-0018929,1.13331566353736e-12,Activation
1916,ECH3937_v6b_ABF-0017525,1.15374376719046e-12,Activation
1900,ECH3937_v6b_ABF-0017502,1.15596421323971e-12,Activation
2673,ECH3937_v6b_ABF-0018629,1.17239551400417e-12,Activation
3416,ECH3937_v6b_ABF-0019755,1.18860477016369e-12,Activation
3090,ECH3937_v6b_ABF-0019261,1.19437792989174e-12,Activation
3712,ECH3937_v6b_ABF-0020196,1.19504406370652e-12,Activation
1707,ECH3937_v6b_ABF-0017216,1.19859677738532e-12,Activation
2184,ECH3937_v6b_ABF-0017916,1.23634436022257e-12,Activation
3222,ECH3937_v6b_ABF-0019446,1.23678844943242e-12,Activation
3726,ECH3937_v6b_ABF-0020216,1.24122934153093e-12,Activation
4357,ECH3937_v6b_ABF-0046897,1.27631238910908e-12,Activation
2454,ECH3937_v6b_ABF-0018314,1.28985711000951e-12,Activation
4255,ECH3937_v6b_ABF-0046657,1.31183952589708e-12,Activation
153,ECH3937_v6b_ABF-0014798,1.32027722088424e-12,Activation
4350,ECH3937_v6b_ABF-0046885,1.32582833600736e-12,Activation
567,ECH3937_v6b_ABF-0015519,1.32915900508124e-12,Activation
519,ECH3937_v6b_ABF-0015453,1.34203759216689e-12,Activation
2040,ECH3937_v6b_ABF-0017713,1.36468614186924e-12,Activation
1635,ECH3937_v6b_ABF-0017112,1.37889699658444e-12,Activation
976,ECH3937_v6b_ABF-0016093,1.38444811170757e-12,Activation
731,ECH3937_v6b_ABF-0015740,1.40931710745917e-12,Activation
3521,ECH3937_v6b_ABF-0019921,1.42219569454483e-12,Activation
772,ECH3937_v6b_ABF-0015813,1.44284584280285e-12,Activation
