,gene,pvalue,effet
3535,ECH3937_v6b_ABF-0019943,4.33053592985289e-11,Repression
3214,ECH3937_v6b_ABF-0019435,4.34319247233361e-11,Repression
559,ECH3937_v6b_ABF-0015510,4.43867165245138e-11,Repression
399,ECH3937_v6b_ABF-0015164,4.48161507904388e-11,Repression
2383,ECH3937_v6b_ABF-0018198,4.80944173375519e-11,Repression
2368,ECH3937_v6b_ABF-0018175,4.99551511268237e-11,Repression
1749,ECH3937_v6b_ABF-0017267,5.28384003217752e-11,Repression
1575,ECH3937_v6b_ABF-0017013,5.46891421038254e-11,Repression
953,ECH3937_v6b_ABF-0016056,5.51421130978724e-11,Repression
347,ECH3937_v6b_ABF-0015076,5.64117641488338e-11,Repression
2050,ECH3937_v6b_ABF-0017724,5.68003422074526e-11,Repression
3459,ECH3937_v6b_ABF-0019825,5.70961056212127e-11,Repression
4471,ECH3937_v6b_ABF-0047098,5.80622216972415e-11,Repression
4147,ECH3937_v6b_ABF-0020815,5.89177595600177e-11,Activation
26,ECH3937_v6b_ABF-0014534,5.92679239019844e-11,Repression
3469,ECH3937_v6b_ABF-0019842,5.9977134370115e-11,Repression
2836,ECH3937_v6b_ABF-0018862,6.11253270221823e-11,Repression
211,ECH3937_v6b_ABF-0014887,6.15236750434178e-11,Repression
3669,ECH3937_v6b_ABF-0020131,6.15600903586255e-11,Repression
3972,ECH3937_v6b_ABF-0020567,6.18771700544585e-11,Repression
814,ECH3937_v6b_ABF-0015866,6.24904572532614e-11,Repression
2476,ECH3937_v6b_ABF-0018340,6.36060093484048e-11,Activation
141,ECH3937_v6b_ABF-0014781,6.41486863628415e-11,Repression
11,ECH3937_v6b_ABF-0014508,6.50957066028468e-11,Repression
2609,ECH3937_v6b_ABF-0018527,6.52147225110866e-11,Repression
2876,ECH3937_v6b_ABF-0018927,6.58224585947664e-11,Repression
2443,ECH3937_v6b_ABF-0018294,6.83064715900628e-11,Repression
1024,ECH3937_v6b_ABF-0016169,6.89066581571751e-11,Repression
1385,ECH3937_v6b_ABF-0016728,7.03814784230872e-11,Repression
583,ECH3937_v6b_ABF-0015543,7.26674276307904e-11,Repression
4034,ECH3937_v6b_ABF-0020658,7.4181993880984e-11,Repression
